|like                       |SELECT like('Spark', '_park');                                                                                                                         |PASSED |OK
|ln                         |SELECT ln(1);                                                                                                                                          |PASSED |OK
|log10                      |SELECT log10(10);                                                                                                                                      |PASSED |OK
|log2                       |SELECT log2(2);                                                                                                                                        |PASSED |OK
|lower                      |SELECT lower('SparkSql');                                                                                                                              |PASSED |OK
|ltrim                      |SELECT ltrim('    SparkSQL   ');                                                                                                                       |PASSED |OK
|max                        |SELECT max(col) FROM VALUES (10), (50), (20) AS tab(col);                                                                                              |PASSED |OK
|md5                        |SELECT md5('Spark');                                                                                                                                   |PASSED |OK
|mean                       |SELECT mean(col) FROM VALUES (1), (2), (3) AS tab(col);                                                                                                |PASSED |OK
|min                        |SELECT min(col) FROM VALUES (10), (-1), (20) AS tab(col);                                                                                              |PASSED |OK
|mod                        |SELECT 2 % 1.8;                                                                                                                                        |PASSED |OK
|negative                   |SELECT negative(1);                                                                                                                                    |PASSED |OK
|not                        |SELECT not true;                                                                                                                                       |PASSED |OK
|nullif                     |SELECT nullif(2, 2);                                                                                                                                   |PASSED |OK
|nvl                        |SELECT nvl(NULL, array('2'));                                                                                                                          |PASSED |OK
|nvl2                       |SELECT nvl2(NULL, 2, 1);                                                                                                                               |PASSED |OK
|octet_length               |SELECT octet_length('Spark SQL');                                                                                                                      |PASSED |OK
|or                         |SELECT true or false;                                                                                                                                  |PASSED |OK
|positive                   |SELECT positive(1);                                                                                                                                    |PASSED |OK
|pow                        |SELECT pow(2, 3);                                                                                                                                      |PASSED |OK
|power                      |SELECT power(2, 3);                                                                                                                                    |PASSED |OK
|regr_avgx                  |SELECT regr_avgx(y, x) FROM VALUES (1, 2), (2, 2), (2, 3), (2, 4) AS tab(y, x);                                                                        |PASSED |OK
|regr_avgy                  |SELECT regr_avgy(y, x) FROM VALUES (1, 2), (2, 2), (2, 3), (2, 4) AS tab(y, x);                                                                        |PASSED |OK
|regr_count                 |SELECT regr_count(y, x) FROM VALUES (1, 2), (2, 2), (2, 3), (2, 4) AS tab(y, x);                                                                       |PASSED |OK
|repeat                     |SELECT repeat('123', 2);                                                                                                                               |PASSED |OK
|replace                    |SELECT replace('ABCabc', 'abc', 'DEF');                                                                                                                |PASSED |OK
|reverse                    |SELECT reverse('Spark SQL');                                                                                                                           |PASSED |OK
|round                      |SELECT round(2.5, 0);                                                                                                                                  |PASSED |OK
|rtrim                      |SELECT rtrim('    SparkSQL   ');                                                                                                                       |PASSED |OK
|shiftleft                  |SELECT shiftleft(2, 1);                                                                                                                                |PASSED |OK
|shiftright                 |SELECT shiftright(4, 1);                                                                                                                               |PASSED |OK
|sign                       |SELECT sign(40);                                                                                                                                       |PASSED |OK
|signum                     |SELECT signum(40);                                                                                                                                     |PASSED |OK
|sin                        |SELECT sin(0);                                                                                                                                         |PASSED |OK
|some                       |SELECT some(col) FROM VALUES (true), (false), (false) AS tab(col);                                                                                     |PASSED |OK
|space                      |SELECT concat(space(2), '1');                                                                                                                          |PASSED |OK
|sqrt                       |SELECT sqrt(4);                                                                                                                                        |PASSED |OK
|startswith                 |SELECT startswith('Spark SQL', 'Spark');                                                                                                               |PASSED |OK
|std                        |SELECT std(col) FROM VALUES (1), (2), (3) AS tab(col);                                                                                                 |PASSED |OK
|stddev                     |SELECT stddev(col) FROM VALUES (1), (2), (3) AS tab(col);                                                                                              |PASSED |OK
|stddev_pop                 |SELECT stddev_pop(col) FROM VALUES (1), (2), (3) AS tab(col);                                                                                          |PASSED |OK
|stddev_samp                |SELECT stddev_samp(col) FROM VALUES (1), (2), (3) AS tab(col);                                                                                         |PASSED |OK
|sum                        |SELECT sum(col) FROM VALUES (5), (10), (15) AS tab(col);                                                                                               |PASSED |OK
|tan                        |SELECT tan(0);                                                                                                                                         |PASSED |OK
|translate                  |SELECT translate('AaBbCc', 'abc', '123');                                                                                                              |PASSED |OK
|trim                       |SELECT trim('    SparkSQL   ');                                                                                                                        |PASSED |OK
|try_divide                 |SELECT try_divide(3, 2);                                                                                                                               |PASSED |OK
|try_subtract               |SELECT try_subtract(2, 1);                                                                                                                             |PASSED |OK
|ucase                      |SELECT ucase('SparkSql');                                                                                                                              |PASSED |OK
|unhex                      |SELECT decode(unhex('537061726B2053514C'), 'UTF-8');                                                                                                   |PASSED |OK
|upper                      |SELECT upper('SparkSql');                                                                                                                              |PASSED |OK
|user                       |SELECT user();                                                                                                                                         |PASSED |OK
|var_pop                    |SELECT var_pop(col) FROM VALUES (1), (2), (3) AS tab(col);                                                                                             |PASSED |OK
|var_samp                   |SELECT var_samp(col) FROM VALUES (1), (2), (3) AS tab(col);                                                                                            |PASSED |OK
|variance                   |SELECT variance(col) FROM VALUES (1), (2), (3) AS tab(col);                                                                                            |PASSED |OK
||                          |SELECT 3 | 5;                                                                                                                                          |PASSED |OK
|~                          |SELECT ~ 0;                                                                                                                                            |PASSED |OK
